year,status,no_of_drug_abusers
2003,Total,1809
2004,Total,956
2005,Total,793
2006,Total,1218
2007,Total,2211
2008,Total,2537
2009,Total,2616
2010,Total,2887
2011,Total,3326
2012,Total,3507
2013,Total,3581
2014,Total,3158
2015,Total,3343
2016,Total,3265
2017,Total,3091
2018,Total,3439
2019,Total,3526
2020,Total,3056
2003,New,730
2004,New,603
2005,New,453
2006,New,477
2007,New,520
2008,New,1060
2009,New,1200
2010,New,1327
2011,New,1128
2012,New,1092
2013,New,1110
2014,New,1093
2015,New,1309
2016,New,1348
2017,New,1249
2018,New,1364
2019,New,1460
2020,New,1151
2003,Repeat,1079
2004,Repeat,353
2005,Repeat,340
2006,Repeat,741
2007,Repeat,1691
2008,Repeat,1477
2009,Repeat,1416
2010,Repeat,1560
2011,Repeat,2198
2012,Repeat,2415
2013,Repeat,2471
2014,Repeat,2065
2015,Repeat,2034
2016,Repeat,1917
2017,Repeat,1842
2018,Repeat,2075
2019,Repeat,2066
2020,Repeat,1905
